id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
1,jawa,dki jakarta,spv finance,PT Axindo Infotama,3,0 - 4 tahun,6,Retail/Merchandise,51 - 200 pekerja,sabtu,formal,kemeja polos & dasi,"kesehatan, umum",indonesia,jobstreet,d3
2,jawa,dki jakarta,qualitative research executive,Perusahaan Dirahasiakan,3,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
3,jawa,jawa tengah,field collection wonogiri,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
4,jawa,dki jakarta,perawat di negara jerman,PT Jerman Manajemen,1,0 - 4 tahun,11,Pendidikan,51 - 200 pekerja,sabtu - kamis,formal,kemeja polos & dasi,kesehatan,indonesia,jobstreet,d3
5,jawa,jawa tengah,field collection pati,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
6,jawa,jawa tengah,field collection pekalongan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
7,jawa,dki jakarta,animator internship program,MODENA INDONESIA,0,0 - 4 tahun,14,Elektrikal & Elektronik,501 - 1000 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, pendidikan, kacamata",indonesia,jobstreet,"d3, s1"
8,jawa,dki jakarta,chef de partie,PT Berkat Jaya Damai,5,5 - 9 tahun,14,Makanan & Minuman/Katering/Restoran,1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,indonesia,jobstreet,d3
9,jawa,dki jakarta,ui/ux,PT Mulia Sukses Jaya,3,0 - 4 tahun,14,Elektrikal & Elektronik,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,s2
10,jawa,jawa tengah,field collection pemalang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
