id_loker,provinsi,pendidikan
1,dki jakarta,D3
2,dki jakarta,S1
3,jawa tengah,D3
3,jawa tengah,S1
3,jawa tengah,SMA
4,dki jakarta,D3
5,jawa tengah,D3
5,jawa tengah,S1
5,jawa tengah,SMA
6,jawa tengah,D3
6,jawa tengah,S1
6,jawa tengah,SMA
7,dki jakarta,D3
7,dki jakarta,S1
8,dki jakarta,D3
9,dki jakarta,S2
10,jawa tengah,D3
10,jawa tengah,S1
10,jawa tengah,SMA
11,jawa tengah,D3
11,jawa tengah,S1
11,jawa tengah,SMA
12,dki jakarta,TIDAK DICANTUMKAN
13,kepulauan bangka belitung,S1
14,dki jakarta,TIDAK DICANTUMKAN
15,jawa tengah,D3
15,jawa tengah,S1
15,jawa tengah,SMA
16,jawa tengah,D3
16,jawa tengah,S1
16,jawa tengah,SMA
17,dki jakarta,TIDAK DICANTUMKAN
18,jawa tengah,D3
18,jawa tengah,S1
18,jawa tengah,SMA
19,jawa tengah,D3
19,jawa tengah,S1
19,jawa tengah,SMA
20,jawa tengah,D3
20,jawa tengah,S1
20,jawa tengah,SMA
21,jawa tengah,D3
21,jawa tengah,S1
21,jawa tengah,SMA
22,jawa timur,D3
22,jawa timur,S1
22,jawa timur,SMA
23,jawa tengah,D3
23,jawa tengah,S1
23,jawa tengah,SMA
24,jawa barat,TIDAK DICANTUMKAN
25,dki jakarta,D3
25,dki jakarta,S1
26,dki jakarta,S1
27,jawa tengah,D3
27,jawa tengah,S1
27,jawa tengah,SMA
28,dki jakarta,TIDAK DICANTUMKAN
29,jawa timur,TIDAK DICANTUMKAN
30,jawa tengah,D3
30,jawa tengah,S1
30,jawa tengah,SMA
31,jawa tengah,D3
31,jawa tengah,S1
31,jawa tengah,SMA
32,jawa tengah,D3
32,jawa tengah,S1
32,jawa tengah,SMA
33,jawa tengah,D3
33,jawa tengah,S1
33,jawa tengah,SMA
34,jawa tengah,D3
34,jawa tengah,S1
34,jawa tengah,SMA
35,jawa tengah,D3
35,jawa tengah,S1
35,jawa tengah,SMA
36,jawa tengah,D3
36,jawa tengah,S1
36,jawa tengah,SMA
37,jawa timur,D3
37,jawa timur,S1
37,jawa timur,SMA
38,jawa tengah,D3
38,jawa tengah,S1
38,jawa tengah,SMA
39,jawa timur,D3
39,jawa timur,S1
39,jawa timur,SMA
40,dki jakarta,TIDAK DICANTUMKAN
41,jawa timur,D3
41,jawa timur,S1
41,jawa timur,SMA
42,jawa timur,D3
42,jawa timur,S1
42,jawa timur,SMA
43,jawa timur,D3
43,jawa timur,S1
44,dki jakarta,D3
44,dki jakarta,S1
45,jawa timur,S1
46,jawa timur,D3
46,jawa timur,S1
46,jawa timur,SMA
47,jawa timur,D3
47,jawa timur,S1
47,jawa timur,SMA
48,di yogyakarta,TIDAK DICANTUMKAN
49,dki jakarta,TIDAK DICANTUMKAN
50,tidak diketahui,D3
50,tidak diketahui,S1
50,tidak diketahui,SMA
51,jawa timur,D3
51,jawa timur,S1
51,jawa timur,SMA
52,jawa timur,D3
52,jawa timur,S1
52,jawa timur,SMA
53,jawa timur,D3
53,jawa timur,S1
54,jawa timur,D3
54,jawa timur,S1
54,jawa timur,SMA
55,jawa timur,D3
55,jawa timur,S1
55,jawa timur,SMA
56,jawa timur,D3
56,jawa timur,S1
57,dki jakarta,S1
57,dki jakarta,D3
58,dki jakarta,S1
58,dki jakarta,D3
59,jawa timur,D3
59,jawa timur,S1
59,jawa timur,SMA
60,nusa tenggara barat,D3
60,nusa tenggara barat,SMA
61,dki jakarta,TIDAK DICANTUMKAN
62,banten,TIDAK DICANTUMKAN
63,banten,S1
64,banten,S1
65,dki jakarta,D3
66,dki jakarta,S2
67,dki jakarta,S1
68,dki jakarta,SMA
69,banten,S1
70,jawa timur,D3
70,jawa timur,S1
70,jawa timur,SMA
71,banten,TIDAK DICANTUMKAN
72,jawa timur,S1
73,dki jakarta,TIDAK DICANTUMKAN
74,banten,TIDAK DICANTUMKAN
75,dki jakarta,S1
76,dki jakarta,D3
77,dki jakarta,S1
78,riau,D3
78,riau,S1
78,riau,SMA
79,dki jakarta,TIDAK DICANTUMKAN
80,nusa tenggara timur,TIDAK DICANTUMKAN
81,jawa barat,D3
81,jawa barat,S1
81,jawa barat,SMA
82,riau,D3
82,riau,S1
82,riau,SMA
83,banten,TIDAK DICANTUMKAN
84,banten,S1
85,dki jakarta,S1
86,dki jakarta,TIDAK DICANTUMKAN
87,jambi,D3
87,jambi,S1
87,jambi,SMA
88,dki jakarta,S1
